"skill_name","function","repo_path","package_status","target_user","business_outcome","zapier_mcp_role","zapier_sdk_role","recommended_connections","approval_gates"
"Mega Campaign Generator","Marketing / Demand Gen","skills/marketing/mega-campaign-generator","ready-for-adaptation","Demand generation and campaign marketers","Turns campaign context into a review-ready launch package, including positioning, audiences, messages, and activation ideas.","Read approved docs, CRM context, campaign notes, chat context, and reference assets; draft messages for review.","Optional campaign request intake, scheduled package generation, review routing, and tracker logging.","Drive or Docs; CRM; Sheets or Tables; chat or collaboration tools.","Human approval before outreach drafts become sends, CRM writes, public posts, or customer claims."
"Sales Sequence Builder","Sales / RevOps","skills/sales-revops/sales-sequence-builder","ready-for-adaptation","Sales and RevOps teams","Creates source-backed outbound or follow-up sequences tailored to account context, persona, and trigger signals.","Read CRM, approved campaign docs, account notes, and message context; draft emails or tasks for review.","Optional sequence request intake, task creation, and approved draft logging.","CRM; Gmail or Outlook; Docs; chat or collaboration tools.","Rep approval before email drafts, CRM tasks, sequence enrollment, or sends."
"Customer Deck Builder","Sales / Customer Success","skills/sales-revops/customer-deck-builder","source-backed-v1","Sales, customer success, onboarding, and RevOps teams","Creates customer-facing decks for discovery, QBR, renewal, expansion, executive briefing, onboarding, and follow-up conversations.","Read approved CRM, account, usage, meeting, and document context; generate and poll Gamma presentations.","Optional deck request intake, data snapshot logging, approval routing, and handoff tracking.","Zapier MCP; Gamma; CRM; approved account-data source; approved usage source; Docs or meeting notes.","Human approval before generating the final deck, sharing externally, using customer proof, or making roadmap and renewal claims."
"Named Account Trigger Radar","Sales / ABM / RevOps","skills/sales-revops/named-account-trigger-radar","ready-for-adaptation","ABM, sales, and RevOps teams","Ranks target accounts by why-now signals and recommends the next best seller action.","Read CRM, account lists, approved account signals, public research, and collaboration context.","Optional scheduled watchlist generation and account-priority logging.","CRM; Sheets or Tables; chat or collaboration tools; approved research sources.","Human approval before owner notifications, CRM updates, or outbound recommendations are actioned."
"AI Audit Account Report","Sales / Midmarket","skills/sales-revops/mmpe-ai-audit-account-report","ready-for-adaptation","Midmarket and expansion sales teams","Builds account-level AI adoption reports that help reps identify expansion or consultation opportunities.","Read CRM, approved usage summaries, account context, and contact data.","Recurring account report generation, rep-review routing, and approved follow-up logging.","CRM; usage report source; Sheets or Tables; optional video or asset tool.","Rep approval before customer-facing messages, reports, video scripts, or CRM writes."
"Cross-CRM Opportunity Sync","Sales / RevOps","skills/sales-revops/cross-crm-opportunity-sync","source-backed-v1","RevOps, Sales Ops, MIS, and business-unit operators","Keeps opportunities, accounts, and customer records in sync across multiple CRMs while preserving attribution, visibility, commission accuracy, and governance.","Read and write approved CRM fields, call an LLM for matching and enrichment, look up master customer records, and route rep notifications.","Durable workflow execution, retries, logs, schedules, sandbox-to-production promotion, audit trails, and reconciliation logic.","Two or more CRMs; master customer record; LLM connection; optional warehouse, team chat, finance or commission system.","Sandbox-to-production approval before production writes; human review for fuzzy matches, revenue-touching workflows, and customer-data workflows."
"Support Ticket Triage Agent","Customer Support","skills/customer-support/support-ticket-triage","source-backed-v1","Support leaders, support ops, and technical support reps","Cuts ticket research time by using Zapier MCP to pull ticket context, search issue trackers and knowledge bases in parallel, classify issues, and produce rep-ready next actions.","Read helpdesk tickets, comments, requester details, issue tracker results, feature backlog items, knowledge-base docs, and optional CRM context.","Optional triggered workflows for tagging, escalation packets, similar-ticket linking, SLA warnings, follow-up reminders, regression alerts, and triage digests.","Helpdesk; issue tracker; knowledge base; feature backlog; optional CRM, source control, and observability.","Rep approval before customer replies, ticket status/tag changes, bug creation, escalation packets, or broad team alerts."
"MCP Urgent Caller Triage For Law Firms","Legal Operations","skills/legal-operations/mcp-urgent-caller-triage","source-backed-v1","Law firm operations, client intake, support, and legal ops teams","Prioritizes inbound callers by urgency, enriches callback work with approved case context, and routes a masked human-approved callback list.","Read call transcripts, search legal client and matter records, and gather approved status and activity context for callback preparation.","Optional scheduled transcript polling, callback dashboard updates, alert routing, retry handling, and KPI logging.","Phone or VoIP transcript source; Clio or legal case management; LLM; Slack, email, or Google Sheets.","Human review before client callbacks, client-facing messages, record updates, billing details, or broad team alerts."
"Inbound Lead Audit + CX Map","GTM Ops / Marketing Ops","skills/gtm-ops/inbound-lead-audit-cx-map","ready-for-adaptation","Marketing Ops and GTM Ops teams","Audits lead handling and maps the customer experience from form fill to follow-up.","Read CRM, routing evidence, meeting status, chat context, and tracker rows.","Optional scheduled audits, tracker updates, and issue logging.","CRM; Sheets or Tables; scheduler; chat or collaboration tools.","Ops review before source-of-truth writes, rep escalations, or public/channel-facing summaries."
"No Lead Left Behind Lead Treatment Audit","GTM Ops / Marketing Ops","skills/gtm-ops/no-lead-left-behind-lead-treatment-audit","advanced-pattern","Marketing Ops and SDR operations teams","Finds missed, delayed, or low-quality lead follow-up and turns gaps into owner-ready actions.","Read CRM, chat context, Sheets or Tables, meeting evidence, and outreach history.","Daily audit automation, state tracking, follow-up queue creation, and approval-routed summaries.","CRM; Sheets or Tables; scheduler; chat or collaboration tools; meeting system.","Human review before posting summaries, writing tracker state, or asking owners to act."
"Find Lead Account Owner","GTM Ops / RevOps","skills/gtm-ops/find-lead-account-owner","helper-pattern","GTM Ops and RevOps teams","Resolves the best account or lead owner using a clear fallback order across CRM and ownership data.","Read CRM contact, company, deal, and ownership data.","Helper function inside lead audits, routing workflows, and SDR call-list automations.","CRM; org directory; Sheets or Tables.","Human review before owner assignment changes or routed owner notifications."
"Daily Lead Steward","GTM Ops / Marketing Ops","skills/gtm-ops/daily-lead-steward","ready-for-adaptation","Marketing Ops, SDR operations, and sales managers","Creates a daily operating view of leads that need attention, follow-up, or escalation.","Read CRM, trackers, meeting status, and collaboration context.","Scheduled daily cockpit generation, state tracking, digest creation, and approval-routed updates.","CRM; Sheets or Tables; scheduler; chat or collaboration tools; meeting system.","Manager approval before source-of-truth writes, owner escalations, or broad team posts."
"Brand Guidelines Builder","Marketing / Brand","skills/marketing/brand-guidelines-builder","ready-for-adaptation","Brand and marketing teams","Turns brand source material into agent-usable rules for on-brand review, drafting, and creative production.","Read approved brand docs, asset libraries, and design references.","Optional review intake queue and feedback logging.","Drive or Docs; asset library; optional design tool.","Brand approval before final external use or changes to official guidelines."
"HTML Mockup Builder","Marketing / Web","skills/marketing/html-mockup-builder","ready-for-adaptation","Marketing web and campaign teams","Creates reviewable HTML mockups from campaign, product, or landing-page briefs.","Read briefs, approved assets, design guidance, and source copy.","Optional mockup request intake, artifact logging, and review routing.","Drive or Docs; asset library; optional project tracker.","Human approval before publishing, deploying, or using customer/partner assets."
"Campaign Postmortem","Marketing / Demand Gen","skills/marketing/campaign-postmortem","source-backed-v1","Marketing leaders, demand generation, and campaign teams","Builds a sourced campaign retro: what happened, what worked, what broke, and what changes next.","Read campaign docs, conversations, dashboards, CRM context, meeting notes, and trackers.","Retro intake, scheduled reminders, reviewer routing, action logging, and follow-up tracking.","Drive or Docs; analytics or dashboard source; CRM; tracker; chat or collaboration tools.","Metric and campaign reviewer approval before broad sharing or source-of-truth updates."
"Find Customer Social Proof","Customer Advocacy / Sales Enablement","skills/customer-advocacy/find-customer-social-proof","source-backed-v1","Campaign marketers, customer advocacy, sales enablement, and sellers","Finds approved customer proof for campaigns, pages, decks, emails, or prospect conversations.","Search approved customer content libraries, CRM context, asset folders, and decks.","Proof request intake, approval routing, usage logging, and asset-status updates.","Content library; CRM; Drive or Docs; deck library; approval tracker.","Customer, brand, or enablement approval before external use of names, logos, quotes, or metrics."
"Customer Story Writer","Customer Advocacy / Content","skills/customer-advocacy/customer-story-writer","source-backed-v1","Customer advocacy and content marketers","Turns interview transcripts, notes, and proof points into narrative customer stories or metric-forward story pages.","Retrieve approved transcripts, briefs, CRM context, proof points, and content-library assets.","Story request intake, reviewer routing, approval reminders, and story-tracker updates.","Transcript source; Drive or Docs; CRM; content library; story tracker.","Customer, brand, legal, and final publishing approval before external use."
"Company Recording To Postable Clip","Content Ops / Social / Comms","skills/content-ops/company-recording-clip","advanced-pattern","Content ops, social, comms, and events teams","Finds source recordings, locates useful moments, and prepares approved clips for distribution.","Find source recordings, captions, calendar context, chat requests, approval owners, and tracker rows.","Clip request intake, approval handoff, tracker logging, and distribution task creation.","Drive or video storage; Calendar; chat or collaboration tools; tracker; approval destination.","Approval before downloading restricted recordings, rendering likenesses, publishing, or broad sharing."
"Daily Notable Lead Audit","Automation","automations/daily-notable-lead-audit","automation-spec","Marketing Ops and SDR operations teams","Runs a daily review of notable leads and highlights gaps, next steps, and owner actions.","Read live CRM, tracker, chat, and meeting context during each run.","Primary execution path for scheduled audit, state tracking, and approved summary routing.","CRM; Sheets or Tables; scheduler; chat or collaboration tools; meeting system.","Human review before posting summaries, changing tracker state, or escalating owners."
"Daily Unconverted Hand-Raisers - SDR Call List","Automation","automations/daily-sdr-unconverted-handraisers","automation-spec","SDR teams and SDR managers","Produces a daily prioritized call list of high-intent hand-raisers who have not converted.","Read CRM, hand-raiser source, owner assignment, and meeting status.","Primary execution path for daily call-list generation and SDR-ready digest routing.","CRM; Sheets or Tables; scheduler; chat or collaboration tools.","SDR manager approval before posting call lists broadly or changing CRM/task state."
"Weekly No Lead Left Behind Unconverted MQL Analysis Rollup","Automation","automations/weekly-no-lead-left-behind-unconverted-mql-analysis-rollup","automation-spec","Marketing Ops, RevOps, and sales managers","Summarizes unresolved MQL follow-up patterns and recommends process improvements.","Read weekly CRM, tracker, meeting, and collaboration evidence.","Primary execution path for weekly rollup, trend logging, and action tracking.","CRM; Sheets or Tables; scheduler; chat or collaboration tools; meeting system.","Ops review before publishing findings or updating source-of-truth records."
"Friday Unconverted MQL Audit Sync","Automation","automations/friday-unconverted-mql-audit-sync","automation-spec","Marketing Ops and RevOps teams","Creates a weekly closeout view of unconverted MQLs and follow-up accountability.","Read current tracker state, CRM status, owner context, and meeting movement.","Primary execution path for Friday sync generation and follow-up logging.","CRM; Sheets or Tables; scheduler; chat or collaboration tools.","Human review before team posts, owner escalations, or tracker writes."
"No Lead Left Behind Standup Brief","Automation","automations/no-lead-left-behind-standup-brief","automation-spec","Marketing Ops, SDR operations, and GTM leaders","Turns lead-follow-up signal into a concise standup brief for operating rhythm reviews.","Read tracker movement, CRM changes, blocker notes, and owner context.","Primary execution path for scheduled brief generation and approved distribution.","CRM; Sheets or Tables; scheduler; chat or collaboration tools.","Human review before posting standup summaries or assigning owner follow-ups."
"Clip Request Intake","Automation","automations/clip-request-intake","automation-spec","Content ops and social teams","Collects the source recording, target moment, approval owner, and destination for a clip request.","Read request form, recording links, calendar context, and approval owner data.","Primary execution path for intake capture, validation, tracker creation, and routing.","Forms; Drive or video storage; Calendar; tracker; chat or collaboration tools.","Approval before downloading restricted recordings or starting external-use workflows."
"Clip Approval And Handoff","Automation","automations/clip-approval-and-handoff","automation-spec","Content ops, social, and comms teams","Routes prepared clips through approval and prepares a clean handoff for publishing.","Read clip asset, approval status, tracker row, and publishing destination.","Primary execution path for approval routing, status logging, and distribution handoff.","Drive or video storage; tracker; chat or collaboration tools; publishing handoff destination.","Approver signoff before publishing, broad sharing, or marking an asset final."
